year,id_,indus10,polviews,racdif1,racdif2,racdif3,racdif4,workwhts,workblks,workhsps,intlwhts,intlblks,intlhsps,marblk,marhisp,marwht,letin1a
2018,356,Offices of physicians,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,357,Elementary and secondary schools,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,358,"Civic, social, advocacy organizations, and grantmaking and giving services",Conservative,YES,NO,YES,NO,HARDWORKING,HARDWORKING,HARDWORKING,6,6,6,FAVOR,FAVOR,FAVOR,Remain the same as it is
2018,359,"Textile product mills, except carpet and rug",Slightly conservative,NO,YES,NO,YES,3,4,HARDWORKING,5,5,3,OPPOSE,OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a lot
2018,360,Automobile dealers,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,361,Grocery stores,Extremely conservative,NO,NO,NO,YES,2,4,2,6,5,2,OPPOSE,OPPOSE,STRONGLY FAVOR,Reduced a lot
2018,362,Employment services,"Moderate, middle of the road",NO,NO,YES,YES,3,3,2,4,4,98,FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2018,402,.i:  Inapplicable,Slightly conservative,YES,NO,YES,NO,.d:  Do not Know/Cannot Choose,98,HARDWORKING,INTELLIGENT,98,INTELLIGENT,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2018,403, Restaurants and other food services,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,404,"Seafood and other miscellaneous foods, n.e.c.",Extremely liberal,YES,NO,NO,NO,5,3,LAZY,INTELLIGENT,6,4,FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Reduced a little
2018,405,Business support services,"Moderate, middle of the road",NO,NO,NO,YES,2,3,2,6,5,3,STRONGLY FAVOR,FAVOR,STRONGLY FAVOR,Reduced a lot
2018,406,Ship and boat building,Conservative,NO,NO,YES,NO,4,4,4,4,4,4,FAVOR,FAVOR,STRONGLY FAVOR,Reduced a little
2018,407,Nursing care facilities,Conservative,YES,NO,NO,YES,4,4,4,5,5,5,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Increased a little
2018,408,Administration of human resource programs,Conservative,NO,NO,YES,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.n:  No answer
2018,409,Home health care services,Liberal,YES,NO,NO,NO,4,4,3,INTELLIGENT,5,4,FAVOR,NEITHER FAVOR NOR OPPOSE,FAVOR,Reduced a lot
2018,410,National security and international affairs,Slightly conservative,NO,NO,NO,YES,4,4,3,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a lot
2018,411,Private households,Conservative,NO,NO,YES,NO,4,4,4,4,4,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,FAVOR,Remain the same as it is
2018,412,Home health care services,"Moderate, middle of the road",YES,NO,NO,YES,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a little
2018,413,Automotive equipment rental and leasing,"Moderate, middle of the road",.d:  Do not Know/Cannot Choose,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.d:  Do not Know/Cannot Choose
2018,414,Hospitals,Conservative,NO,YES,YES,NO,3,3,4,4,4,4,OPPOSE,NEITHER FAVOR NOR OPPOSE,STRONGLY FAVOR,Reduced a little
2018,444,Drycleaning and laundry services,Liberal,NO,NO,YES,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2018,445, Restaurants and other food services,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,446,"Health and personal care, except drug, stores","Moderate, middle of the road",NO,YES,NO,YES,3,4,HARDWORKING,6,5,5,FAVOR,FAVOR,FAVOR,Remain the same as it is
2018,447,Private households,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,448,Hospitals,Liberal,YES,NO,YES,NO,LAZY,HARDWORKING,HARDWORKING,2,6,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2018,449,Sawmills and wood preservation,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,450,Individual and family services,.d:  Do not Know/Cannot Choose,YES,NO,NO,NO,6,5,4,3,2,3,STRONGLY FAVOR,STRONGLY FAVOR,NEITHER FAVOR NOR OPPOSE,Reduced a lot
2018,451,Construction,Slightly liberal,YES,NO,NO,NO,4,4,5,3,5,6,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a little
2018,452,Department stores and discount stores,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,453,Hospitals,Slightly liberal,NO,NO,YES,YES,5,6,5,5,5,5,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2018,454,Elementary and secondary schools,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,455,Executive offices and legislative bodies,Liberal,YES,NO,YES,NO,4,4,4,4,4,4,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Increased a little
2018,456,.i:  Inapplicable,Slightly liberal,YES,NO,YES,NO,4,3,2,6,6,6,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2018,457,U.S. Armed Forces/n.s.,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,458,Real estate,Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,459,Wired telecommunications carriers,Conservative,.d:  Do not Know/Cannot Choose,NO,YES,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a lot
2018,460,Other personal services,Slightly conservative,NO,NO,NO,NO,3,3,3,5,5,5,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Reduced a lot
2018,461,Construction,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,462,"Civic, social, advocacy organizations, and grantmaking and giving services",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,463,.n:  No answer,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,464,Grocery stores,Liberal,YES,NO,YES,NO,4,3,2,4,4,4,FAVOR,FAVOR,FAVOR,Increased a little
2018,465,Insurance carriers and related activities,"Moderate, middle of the road",YES,NO,YES,NO,2,2,HARDWORKING,6,6,6,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
2018,466,"Other amusement, gambling, and recreation industries","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,493,Animal production,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,494,"Securities, commodities, funds, trusts, and other financial investments",Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,495,Veterinary services,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,496,"Navigational, measuring, electromedical, and control instruments manufacturing","Moderate, middle of the road",.d:  Do not Know/Cannot Choose,NO,NO,YES,5,4,2,6,5,4,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Reduced a little
2018,497,"Animal food, grain, and oilseed milling","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,498,Real estate,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,499,Sewage treatment facilities,Slightly conservative,YES,NO,NO,YES,6,5,2,5,2,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,OPPOSE,Remain the same as it is
2018,500,Beauty salons,.n:  No answer,YES,YES,YES,YES,5,HARDWORKING,3,INTELLIGENT,INTELLIGENT,INTELLIGENT,STRONGLY FAVOR,FAVOR,STRONGLY FAVOR,Increased a little
2018,501,"Machinery manufacturing, n.e.c.    ","Moderate, middle of the road",YES,NO,YES,NO,4,4,3,4,4,4,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2018,502,"Securities, commodities, funds, trusts, and other financial investments",Slightly liberal,YES,NO,YES,NO,4,4,2,5,5,5,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2018,503,Computer systems design and related services,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,504,Sewage treatment facilities,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,505,Insurance carriers and related activities,Liberal,YES,NO,YES,NO,2,2,2,4,4,4,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Increased a little
2018,532,Truck transportation,Slightly liberal,NO,NO,NO,YES,4,4,4,4,4,5,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2018,533,Hospitals,Slightly liberal,NO,NO,NO,NO,4,4,3,3,4,5,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Reduced a little
2018,534,Commercial and service industry machinery manufacturing,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,535,Offices of optometrists,Slightly liberal,NO,NO,YES,NO,2,2,2,6,6,6,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
2018,536,Specialty food stores,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,537,Services to buildings and dwellings,.d:  Do not Know/Cannot Choose,NO,YES,NO,YES,4,LAZY,HARDWORKING,INTELLIGENT,INTELLIGENT,INTELLIGENT,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2018,538,Hospitals,Conservative,NO,NO,NO,NO,5,4,2,4,5,5,FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2018,539,Other consumer goods rental,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,540,Hospitals,"Moderate, middle of the road",NO,.d:  Do not Know/Cannot Choose,NO,.d:  Do not Know/Cannot Choose,4,4,5,4,4,4,NEITHER FAVOR NOR OPPOSE,FAVOR,NEITHER FAVOR NOR OPPOSE,Increased a lot
2018,541,Aircraft and parts manufacturing,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,542,Administration of economic programs and space research,"Moderate, middle of the road",YES,NO,YES,NO,4,4,3,4,4,4,OPPOSE,OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2018,543,Air transportation,"Moderate, middle of the road",YES,NO,YES,YES,4,4,4,4,5,4,STRONGLY FAVOR,FAVOR,FAVOR,Remain the same as it is
2018,544,Construction,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,571,"Colleges and universities, including junior colleges",Liberal,YES,NO,YES,NO,3,3,3,5,5,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
2018,572,Traveler accommodation,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,573,"Colleges and universities, including junior colleges",Extremely liberal,YES,NO,YES,NO,4,4,3,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
2018,574,Building material and supplies dealers,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,575,Outpatient care centers,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,576,Used merchandise stores,"Moderate, middle of the road",NO,NO,YES,YES,HARDWORKING,LAZY,4,INTELLIGENT,5,4,NEITHER FAVOR NOR OPPOSE,STRONGLY FAVOR,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2018,577,.i:  Inapplicable,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,578,Gasoline stations,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,579,Real estate,Liberal,NO,NO,NO,YES,4,3,4,6,5,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2018,580,"Groceries and related products, merchant wholesalers",Slightly conservative,NO,NO,YES,NO,2,4,4,5,5,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a little
2018,581,Individual and family services,Liberal,YES,NO,YES,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
2018,582,Offices of physicians,"Moderate, middle of the road",NO,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a little
2018,583,"Machinery, equipment, and supplies, merchant wholesalers","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,597,"Architectural, engineering, and related services",Slightly liberal,YES,NO,NO,NO,4,4,4,4,4,4,FAVOR,FAVOR,STRONGLY FAVOR,Remain the same as it is
2018,598,Computer systems design and related services,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2018,599,Elementary and secondary schools,Slightly liberal,YES,NO,NO,NO,4,3,3,INTELLIGENT,INTELLIGENT,INTELLIGENT,STRONGLY FAVOR,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2018,600,Not specified metal industries,Slightly conservative,NO,NO,NO,YES,4,5,2,5,3,5,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Increased a lot
2018,601,"Drinking places, alcoholic beverages",Extremely liberal,YES,NO,YES,NO,LAZY,3,4,2,5,UNINTELLIGENT,FAVOR,OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a lot
2018,602,"Justice, public order, and safety activities",Conservative,NO,NO,NO,YES,4,5,3,6,4,4,FAVOR,FAVOR,STRONGLY FAVOR,Reduced a lot
2018,603,Wired telecommunications carriers,Conservative,NO,NO,NO,YES,2,3,2,5,5,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
2018,604,Motor vehicles and motor vehicle equipment manufacturing,"Moderate, middle of the road",NO,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a little
2018,605,"Petroleum and petroleum products, merchant wholesalers","Moderate, middle of the road",YES,NO,YES,NO,.n:  No answer,99,99,.n:  No answer,99,99,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2018,606,Construction,Conservative,YES,NO,YES,YES,5,5,5,5,5,5,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2018,607,Home health care services,Slightly liberal,YES,YES,NO,YES,HARDWORKING,4,5,6,4,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2018,608, Restaurants and other food services,"Moderate, middle of the road",YES,NO,YES,YES,HARDWORKING,2,2,6,6,5,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Reduced a lot
