year,id_,indus10,polviews,racdif1,racdif2,racdif3,racdif4,workwhts,workblks,intlwhts,intlblks,marblk,marwht,letin1a,ballot
2000,52,Elementary and secondary schools,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,2,6,5,UNINTELLIGENT,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,53,"Colleges and universities, including junior colleges",Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot c
2000,54,Lawn and garden equipment and supplies stores,"Moderate, middle of the road",NO,NO,NO,YES,3,5,INTELLIGENT,6,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,55,Grocery stores,"Moderate, middle of the road",NO,NO,NO,NO,5,5,5,5,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,56,.n:  No answer,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,57,Scientific research and development services,"Moderate, middle of the road",NO,NO,NO,YES,4,3,4,4,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,58,Elementary and secondary schools,Slightly conservative,NO,NO,YES,NO,4,5,4,4,OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,59,Other direct selling establishments,Extremely liberal,YES,NO,YES,NO,4,4,4,4,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,60,Building material and supplies dealers,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,61,Elementary and secondary schools,Conservative,NO,NO,YES,NO,4,4,4,4,STRONGLY FAVOR,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot b
2000,62,Elementary and secondary schools,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,HARDWORKING,HARDWORKING,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,STRONGLY FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,63,Elementary and secondary schools,Slightly liberal,YES,NO,.n:  No answer,NO,2,2,6,6,STRONGLY FAVOR,OPPOSE,.i:  Inapplicable,Ballot a
2000,64,Cut and sew apparel manufacturing,"Moderate, middle of the road",NO,.d:  Do not Know/Cannot Choose,NO,NO,2,3,4,4,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,65,Drycleaning and laundry services,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,66,Pharmacies and drug stores,.d:  Do not Know/Cannot Choose,YES,NO,NO,YES,4,4,4,4,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,67,Child day care services,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,4,6,6,OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot c
2000,68,.i:  Inapplicable,Slightly liberal,YES,NO,YES,NO,4,4,INTELLIGENT,INTELLIGENT,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,69,Not specified manufacturing industries,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,4,4,4,STRONGLY FAVOR,FAVOR,.i:  Inapplicable,Ballot c
2000,70,"Bakeries, except retail","Moderate, middle of the road",.d:  Do not Know/Cannot Choose,YES,.d:  Do not Know/Cannot Choose,.n:  No answer,4,4,4,4,NEITHER FAVOR NOR OPPOSE,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,Ballot b
2000,71,Private households,Conservative,YES,.d:  Do not Know/Cannot Choose,YES,YES,4,4,4,4,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,72,Cut and sew apparel manufacturing,"Moderate, middle of the road",.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,YES,NO,HARDWORKING,HARDWORKING,INTELLIGENT,INTELLIGENT,STRONGLY FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,73,Printing and related support activities,"Moderate, middle of the road",.d:  Do not Know/Cannot Choose,YES,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,3,4,4,3,STRONGLY FAVOR,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot a
2000,74, Restaurants and other food services,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,75,.i:  Inapplicable,Slightly conservative,.n:  No answer,.n:  No answer,.n:  No answer,.n:  No answer,4,4,4,4,STRONGLY FAVOR,FAVOR,.i:  Inapplicable,Ballot b
2000,76,Drycleaning and laundry services,"Moderate, middle of the road",YES,YES,YES,YES,5,4,4,INTELLIGENT,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,77,Nursing care facilities,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,78,Clothing stores,"Moderate, middle of the road",YES,NO,YES,YES,2,HARDWORKING,4,4,STRONGLY FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,79,Elementary and secondary schools,"Moderate, middle of the road",YES,NO,YES,NO,5,2,4,4,STRONGLY FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,80,Elementary and secondary schools,"Moderate, middle of the road",YES,NO,NO,YES,3,4,5,5,STRONGLY FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,81,Hospitals,.d:  Do not Know/Cannot Choose,YES,NO,YES,YES,4,2,4,4,STRONGLY FAVOR,FAVOR,.i:  Inapplicable,Ballot b
2000,82,Religious organizations,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,4,4,4,NEITHER FAVOR NOR OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,83,Elementary and secondary schools,"Moderate, middle of the road",YES,NO,YES,YES,3,3,5,5,STRONGLY FAVOR,FAVOR,.i:  Inapplicable,Ballot b
2000,84,Hospitals,"Moderate, middle of the road",NO,NO,YES,NO,3,3,5,5,STRONGLY FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,85,Hospitals,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,86,Paperboard containers and boxes,"Moderate, middle of the road",YES,.d:  Do not Know/Cannot Choose,NO,YES,4,5,5,3,OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,87,Motor vehicles and motor vehicle equipment manufacturing,"Moderate, middle of the road",YES,NO,YES,NO,2,4,6,4,FAVOR,FAVOR,.i:  Inapplicable,Ballot a
2000,88,Air transportation,"Moderate, middle of the road",YES,NO,YES,NO,3,4,3,3,STRONGLY FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,89,Hospitals,Liberal,NO,NO,NO,YES,2,5,5,3,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot a
2000,90,Beauty salons,"Moderate, middle of the road",.d:  Do not Know/Cannot Choose,NO,NO,YES,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot a
2000,91,Banking and related activities,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,92,Not specified manufacturing industries,Slightly conservative,YES,NO,NO,NO,4,3,3,5,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,93,Pharmaceutical and medicine manufacturing,"Moderate, middle of the road",.d:  Do not Know/Cannot Choose,YES,NO,NO,4,4,4,4,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,94,"Lumber and other construction materials, merchant wholesalers",Slightly liberal,YES,YES,NO,.d:  Do not Know/Cannot Choose,4,4,4,4,NEITHER FAVOR NOR OPPOSE,FAVOR,.i:  Inapplicable,Ballot b
2000,95,Animal production,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,3,4,4,3,OPPOSE,FAVOR,.i:  Inapplicable,Ballot c
2000,96,Construction,Conservative,NO,NO,NO,YES,4,6,4,4,.d:  Do not Know/Cannot Choose,FAVOR,.i:  Inapplicable,Ballot b
2000,97,Motor vehicles and motor vehicle equipment manufacturing,.n:  No answer,NO,NO,NO,YES,4,6,5,5,STRONGLY OPPOSE,.n:  No answer,.i:  Inapplicable,Ballot a
2000,98,"Colleges and universities, including junior colleges",Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,5,5,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot c
2000,99,Industrial and miscellaneous chemicals,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,3,5,5,3,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,100,Motor vehicles and motor vehicle equipment manufacturing,"Moderate, middle of the road",YES,NO,NO,NO,4,4,5,5,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,101,Elementary and secondary schools,Slightly liberal,NO,NO,YES,NO,4,4,4,4,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,102,Natural gas distribution,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,103,.i:  Inapplicable,Slightly liberal,YES,NO,YES,NO,4,4,5,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot a
2000,104,Motor vehicles and motor vehicle equipment manufacturing,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,105,Metalworking machinery manufacturing   ,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,2,5,5,3,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,106,Waste management and remediation services,Liberal,NO,NO,YES,NO,4,4,4,4,FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,107,"Accounting, tax preparation, bookkeeping, and payroll services",Liberal,NO,NO,YES,YES,3,4,5,5,OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,108,Construction,"Moderate, middle of the road",NO,NO,NO,YES,4,4,4,4,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,109,Construction,"Moderate, middle of the road",YES,NO,YES,YES,4,4,4,4,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,110,"Securities, commodities, funds, trusts, and other financial investments","Moderate, middle of the road",YES,NO,YES,NO,5,4,4,4,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,111,Legal services,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,112,"Drugs, sundries, and chemical and allied products, merchant wholesalers","Moderate, middle of the road",YES,NO,YES,NO,5,2,4,4,STRONGLY FAVOR,FAVOR,.i:  Inapplicable,Ballot a
2000,113,Hospitals,Slightly liberal,YES,NO,YES,NO,4,4,3,3,STRONGLY FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,114,Real estate,"Moderate, middle of the road",NO,NO,YES,NO,HARDWORKING,HARDWORKING,5,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot b
2000,115,Motor vehicles and motor vehicle equipment manufacturing,Slightly liberal,YES,NO,YES,NO,6,3,4,4,STRONGLY FAVOR,OPPOSE,.i:  Inapplicable,Ballot b
2000,116,Hospitals,.n:  No answer,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,4,4,4,FAVOR,FAVOR,.i:  Inapplicable,Ballot c
2000,117,"Civic, social, advocacy organizations, and grantmaking and giving services",Slightly liberal,YES,NO,YES,NO,3,4,4,4,NEITHER FAVOR NOR OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,118,Truck transportation,"Moderate, middle of the road",YES,NO,NO,NO,HARDWORKING,HARDWORKING,INTELLIGENT,INTELLIGENT,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,119,Not specified wholesale trade,Slightly conservative,NO,YES,NO,YES,2,3,5,5,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,120, Restaurants and other food services,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,121,.i:  Inapplicable,"Moderate, middle of the road",YES,YES,YES,YES,HARDWORKING,4,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,STRONGLY FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,122,.i:  Inapplicable,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,5,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot c
2000,123,Not specified metal industries,Liberal,NO,NO,YES,YES,5,5,4,4,STRONGLY FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,124,Real estate,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,HARDWORKING,3,5,5,STRONGLY FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,125,.i:  Inapplicable,Liberal,NO,NO,NO,NO,.d:  Do not Know/Cannot Choose,4,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
